id,Product_ID,name,Brand,category,Price,Ingredients
90,79,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,117,Retinol
91,359,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,39,Retinol
92,399,InfluenceX Sunscreen,InfluenceX,Sunscreen,41,Retinol
93,254,DermaCare Sunscreen,DermaCare,Sunscreen,33,Ceramides|Vitamin C
94,224,LuxuryGlow Sunscreen,LuxuryGlow,Sunscreen,83,Hyaluronic Acid
95,159,InfluenceX Sunscreen,InfluenceX,Sunscreen,65,Vitamin C
96,554,ClinicalSkin Sunscreen,ClinicalSkin,Sunscreen,62,Retinol|Vitamin C
97,209,DermaCare Sunscreen,DermaCare,Sunscreen,75,Ceramides
98,99,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,11,Retinol
99,219,BudgetBeauty Sunscreen,BudgetBeauty,Sunscreen,139,Hyaluronic Acid
